id_reserva;cliente_nombre;dni_pasaporte;telefono;correo;paquete_tour;fecha_viaje;precio_soles;metodo_pago;guia_asignado;fuente_no_estructurada;procesamiento_aplicado;resultado_extraido;estado_procesamiento
RES-127;Karen Bardales Benites;63238057;931931491;karen.bardales@outlook.com;Full Day Lunahuaná;18/05/2026;S/ 120.00;Plin;María Castillo;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 120.00 | Op: 67165;Validado
RES-128;Guillermo Medina Gonzales;68450095;928498776;gmedina@outlook.com;Máncora Playas;23/05/2026;S/ 1,595.00;Yape;Ana Torres;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 1595.00 | Op: 79965;Validado
RES-129;Luis Del Águila Meza;34406132;973545494;luis.del aguila@hotmail.com;Full Day Antioquía;13/08/2026;S/ 100.00;Plin;Luis Alvarado;Chat WhatsApp (Texto);NLP Sentimiento;Recomendado al 100%;Positivo (0.95)
RES-130;Julio Mamani Flores;49491631;936349578;jmamani@yahoo.com;Paracas y Huacachina;25/08/2026;S/ 390.00;Yape;María Castillo;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 390.00 | Op: 13518;Validado
RES-131;Freddy Alvarado Castillo;39042654;974989413;freddyalvarado38@outlook.com;Tarapoto Selva;14/09/2026;S/ 1,260.00;Yape;Carlos Mendoza;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 1260.00 | Op: 84271;Validado
RES-132;Carlos Bardales Aguilar;73001391;977520471;carlos_bardales@yahoo.com;Full Day Antioquía;14/05/2026;S/ 115.00;Yape;Jorge Benítez;Chat WhatsApp (Audio);NLP Sentimiento;Superó mis expectativas;Positivo (0.95)
RES-133;Fernanda Núñez Palomino;91378577;999386774;fernanda_nunez@outlook.com;Cusco - Machu Picchu;26/05/2026;S/ 1,855.00;Efectivo;Luis Alvarado;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 1855.00 | Op: 41232;Validado
RES-134;Roxana Torres Fernández;10359129;967974034;rtorres@yahoo.com;Full Day Antioquía;07/07/2026;S/ 125.00;Transferencia;Jorge Benítez;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 125.00 | Op: 61832;Validado
RES-135;Patricia Gonzales Torres;18004482;924994717;pgonzales@yahoo.com;Huaraz Laguna 69;04/09/2026;S/ 200.00;Plin;Jorge Benítez;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 200.00 | Op: 65940;Validado
RES-136;Rosa Salazar Bardales;88802305;904902787;rosasalazar36@yahoo.com;Iquitos Amazónico;29/08/2026;S/ 2,450.00;Yape;María Castillo;Chat WhatsApp (Audio);NLP Sentimiento;Cumplió lo esperado;Neutro (0.50)
RES-137;Daniela Palomino Del Águila;48683937;968071545;daniela_palomino@gmail.com;Iquitos Amazónico;18/06/2026;S/ 1,560.00;Plin;Jorge Benítez;Chat WhatsApp (Texto);NLP Sentimiento;Excelente tour;Positivo (0.95)
RES-138;Gabriela Paredes Núñez;27584297;947710932;gabriela.paredes@yahoo.com;Full Day Antioquía;30/05/2026;S/ 95.00;Plin;Carlos Mendoza;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 95.00 | Op: 74846;Validado
RES-139;Raúl Cruz Espinoza;71308842;982639821;raul_cruz@outlook.com;Huaraz Laguna 69;12/07/2026;S/ 250.00;Transferencia;Jorge Benítez;Chat WhatsApp (Texto);NLP Sentimiento;Faltó un poco de organización pero bien;Neutro (0.50)
RES-140;Víctor Cruz Yupanqui;54619335;988675339;victorcruz50@yahoo.com;Cusco - Machu Picchu;30/08/2026;S/ 1,375.00;Transferencia;Ana Torres;Chat WhatsApp (Texto);NLP Sentimiento;Esperaba más por el precio;Negativo (0.20)
RES-141;Estefany Huamán Chávez;77416376;995171870;estefanyhuaman93@yahoo.com;Tarapoto Selva;07/07/2026;S/ 950.00;Yape;Ana Torres;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 950.00 | Op: 58657;Validado
RES-142;Víctor Huamán Delgado;19183277;934316117;vhuaman@gmail.com;Cusco - Machu Picchu;15/05/2026;S/ 1,385.00;Yape;María Castillo;Chat WhatsApp (Texto);NLP Sentimiento;El paisaje fue espectacular;Positivo (0.95)
RES-143;Marco Alvarado Fernández;33497411;919693792;marco_alvarado@outlook.com;Iquitos Amazónico;03/05/2026;S/ 1,310.00;Transferencia;Ana Torres;Chat WhatsApp (Audio);NLP Sentimiento;Cumplió lo esperado;Neutro (0.50)
RES-144;Jorge Guzmán Yupanqui;88862539;946474367;jorgeguzman14@yahoo.com;Paracas y Huacachina;15/07/2026;S/ 480.00;Yape;Ana Torres;Chat WhatsApp (Audio);NLP Sentimiento;Excelente tour;Positivo (0.95)
RES-145;Alexander Del Águila Aguilar;40885967;995339421;alexander.del aguila@outlook.com;Iquitos Amazónico;02/08/2026;S/ 955.00;Transferencia;Carlos Mendoza;Chat WhatsApp (Audio);NLP Sentimiento;El paisaje fue espectacular;Positivo (0.95)
RES-146;Camila Castillo Chávez;82398083;958842474;ccastillo@gmail.com;Iquitos Amazónico;06/06/2026;S/ 2,440.00;Transferencia;Luis Alvarado;Chat WhatsApp (Texto);NLP Sentimiento;Mala señal para el pago;Negativo (0.20)
RES-147;Milagros Flores Sánchez;11868130;948175496;mflores@gmail.com;Máncora Playas;21/09/2026;S/ 1,165.00;Yape;Jorge Benítez;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 1165.00 | Op: 17461;Validado
RES-148;Diego Huamán Huamán;50851122;971138267;diego_huaman@hotmail.com;Full Day Lunahuaná;03/09/2026;S/ 120.00;Plin;María Castillo;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 120.00 | Op: 53773;Validado
RES-149;Milagros Ramírez Rivera;83076970;950643171;milagrosramirez85@gmail.com;Cusco - Machu Picchu;02/07/2026;S/ 2,150.00;Efectivo;Jorge Benítez;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 2150.00 | Op: 18393;Validado
RES-150;Ricardo Cusi Gonzales;89991301;904228421;ricardo.cusi@hotmail.com;Cusco - Machu Picchu;30/06/2026;S/ 1,440.00;Plin;Carlos Mendoza;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 1440.00 | Op: 40268;Validado
RES-151;Fernanda Torres Cruz;70166480;958917839;ftorres@yahoo.com;Cusco - Machu Picchu;31/08/2026;S/ 950.00;Transferencia;Ana Torres;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 950.00 | Op: 77115;Validado
RES-152;Alexander Gonzales Torres;26937148;949985698;alexander_gonzales@yahoo.com;Full Day Antioquía;30/05/2026;S/ 130.00;Transferencia;Jorge Benítez;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 130.00 | Op: 67365;Validado
RES-153;Cynthia Sánchez Palomino;22762205;956545271;cynthia.sanchez@gmail.com;Full Day Lunahuaná;04/08/2026;S/ 90.00;Transferencia;Jorge Benítez;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 90.00 | Op: 98851;Validado
RES-154;Eduardo Yupanqui Vega;16904975;949451983;eduardo_yupanqui@hotmail.com;Full Day Antioquía;20/09/2026;S/ 105.00;Plin;María Castillo;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 105.00 | Op: 68998;Validado
RES-155;Luis Tello Paredes;13886030;924455022;luis_tello@gmail.com;Tarapoto Selva;08/05/2026;S/ 1,850.00;Yape;Jorge Benítez;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 1850.00 | Op: 66752;Validado
RES-156;Milagros Zúñiga Meza;86181117;991022901;milagros_zuniga@yahoo.com;Iquitos Amazónico;15/08/2026;S/ 1,870.00;Yape;Jorge Benítez;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 1870.00 | Op: 56149;Validado
RES-157;Estefany Pizarro Zúñiga;16095815;936900343;estefanypizarro99@outlook.com;Huaraz Laguna 69;02/05/2026;S/ 170.00;Plin;Ana Torres;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 170.00 | Op: 26838;Validado
RES-158;Roxana Yupanqui Torres;63293990;906071596;roxana_yupanqui@yahoo.com;Huaraz Laguna 69;06/05/2026;S/ 140.00;Efectivo;Luis Alvarado;Chat WhatsApp (Texto);NLP Sentimiento;Normal, sin sorpresas;Neutro (0.50)
RES-159;Rosa Vega Ramírez;42657384;969681645;rvega@hotmail.com;Full Day Antioquía;30/05/2026;S/ 115.00;Plin;Luis Alvarado;Chat WhatsApp (Audio);NLP Sentimiento;Guía muy servicial;Positivo (0.95)
RES-160;Lucía Ramírez Gonzales;44355473;932921277;lucia_ramirez@outlook.com;Paracas y Huacachina;18/05/2026;S/ 310.00;Plin;María Castillo;Chat WhatsApp (Audio);NLP Sentimiento;Muy buena atención;Positivo (0.95)
RES-161;Hernán Torres Zúñiga;71974027;970054119;hernan_torres@yahoo.com;Cusco - Machu Picchu;24/09/2026;S/ 1,590.00;Transferencia;María Castillo;Chat WhatsApp (Texto);NLP Sentimiento;Excelente tour;Positivo (0.95)
RES-162;Julio Ramírez Cusi;21318464;982037788;julioramirez79@outlook.com;Paracas y Huacachina;08/08/2026;S/ 615.00;Plin;María Castillo;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 615.00 | Op: 51518;Validado
RES-163;Ximena Benites Aguilar;43822301;992519254;ximena_benites@hotmail.com;Full Day Antioquía;05/08/2026;S/ 100.00;Plin;María Castillo;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 100.00 | Op: 81685;Validado
RES-164;Luis Rivera Zúñiga;34194479;935733221;luis.rivera@gmail.com;Paracas y Huacachina;03/06/2026;S/ 600.00;Plin;Luis Alvarado;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 600.00 | Op: 29270;Validado
RES-165;Eduardo Rivera Espinoza;69619341;994738347;erivera@yahoo.com;Iquitos Amazónico;06/08/2026;S/ 2,130.00;Plin;Ana Torres;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 2130.00 | Op: 39240;Validado
RES-166;Mariana Cruz Rivera;84429198;918141247;marianacruz66@yahoo.com;Full Day Antioquía;26/06/2026;S/ 135.00;Transferencia;María Castillo;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 135.00 | Op: 60685;Validado
RES-167;Lucía Benites Flores;60319927;930515220;lucia_benites@hotmail.com;Iquitos Amazónico;02/05/2026;S/ 1,620.00;Efectivo;Carlos Mendoza;Chat WhatsApp (Audio);NLP Sentimiento;Guía muy servicial;Positivo (0.95)
RES-168;Roxana Tello Pizarro;66808292;914341036;roxana_tello@gmail.com;Full Day Antioquía;05/09/2026;S/ 130.00;Plin;Carlos Mendoza;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 130.00 | Op: 24609;Validado
RES-169;Sergio Espinoza Bardales;65910756;921851888;sergio.espinoza@yahoo.com;Iquitos Amazónico;08/08/2026;S/ 970.00;Efectivo;María Castillo;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 970.00 | Op: 51531;Validado
RES-170;Cecilia Saavedra Cusi;27905932;905852772;cecilia.saavedra@yahoo.com;Cusco - Machu Picchu;12/05/2026;S/ 1,335.00;Transferencia;Carlos Mendoza;Chat WhatsApp (Audio);NLP Sentimiento;Mala señal para el pago;Negativo (0.20)
RES-171;Yesenia Coronado Cruz;43999198;903450541;yesenia_coronado@yahoo.com;Iquitos Amazónico;07/08/2026;S/ 2,330.00;Yape;Luis Alvarado;Chat WhatsApp (Texto);NLP Sentimiento;Normal, sin sorpresas;Neutro (0.50)
RES-172;Katherine Paredes Flores;66975380;916928451;kparedes@outlook.com;Huaraz Laguna 69;18/08/2026;S/ 190.00;Yape;Ana Torres;Chat WhatsApp (Audio);NLP Sentimiento;Muy buena atención;Positivo (0.95)
RES-173;Vanessa Vega Paredes;95828117;901658202;vanessa_vega@gmail.com;Tarapoto Selva;02/08/2026;S/ 940.00;Plin;Jorge Benítez;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 940.00 | Op: 92755;Validado
RES-174;Julio Torres Bardales;28481124;985654310;juliotorres95@yahoo.com;Full Day Lunahuaná;31/05/2026;S/ 135.00;Yape;María Castillo;Chat WhatsApp (Texto);NLP Sentimiento;Volveríamos sin dudarlo;Positivo (0.95)
RES-175;Gustavo Del Águila Castillo;26460116;921727155;gustavo.del aguila@outlook.com;Huaraz Laguna 69;14/06/2026;S/ 255.00;Transferencia;Jorge Benítez;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 255.00 | Op: 13237;Validado
RES-176;Luis Rivera Núñez;86809773;957829114;luis_rivera@yahoo.com;Full Day Lunahuaná;19/05/2026;S/ 130.00;Yape;María Castillo;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 130.00 | Op: 77852;Validado
RES-177;Cecilia Núñez Cabrera;88891300;922680182;cecilianunez39@hotmail.com;Paracas y Huacachina;27/06/2026;S/ 625.00;Yape;Jorge Benítez;Chat WhatsApp (Audio);NLP Sentimiento;Normal, sin sorpresas;Neutro (0.50)
RES-178;José Cabrera Núñez;46836194;924981829;josecabrera75@hotmail.com;Paracas y Huacachina;22/09/2026;S/ 585.00;Yape;Carlos Mendoza;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 585.00 | Op: 09439;Validado
RES-179;Eduardo Delgado Cabrera;14064904;978447364;eduardo.delgado@gmail.com;Tarapoto Selva;01/09/2026;S/ 1,445.00;Plin;María Castillo;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 1445.00 | Op: 55562;Validado
RES-180;Freddy Rivera Vela;85383550;915371473;freddy.rivera@gmail.com;Huaraz Laguna 69;16/08/2026;S/ 270.00;Yape;Luis Alvarado;Chat WhatsApp (Audio);NLP Sentimiento;Poca coordinación del grupo;Negativo (0.20)
RES-181;José Fernández Del Águila;79085198;977470168;josefernandez59@hotmail.com;Paracas y Huacachina;12/07/2026;S/ 270.00;Plin;Ana Torres;Chat WhatsApp (Audio);NLP Sentimiento;Todo puntual;Positivo (0.95)
RES-182;Pilar Chávez Cárdenas;59093843;965060983;pchavez@gmail.com;Full Day Lunahuaná;18/09/2026;S/ 115.00;Yape;Jorge Benítez;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 115.00 | Op: 21655;Validado
RES-183;Roxana Rivera Gonzales;36717096;998680002;rrivera@yahoo.com;Iquitos Amazónico;09/09/2026;S/ 1,140.00;Yape;Jorge Benítez;Chat WhatsApp (Audio);NLP Sentimiento;Volveríamos sin dudarlo;Positivo (0.95)
RES-184;Jhoana Cusi Vela;78412668;987947055;jhoana.cusi@yahoo.com;Huaraz Laguna 69;07/05/2026;S/ 245.00;Plin;María Castillo;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 245.00 | Op: 09728;Validado
RES-185;Guillermo Delgado Benites;29834119;930913075;guillermodelgado54@yahoo.com;Máncora Playas;29/08/2026;S/ 1,090.00;Transferencia;Carlos Mendoza;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 1090.00 | Op: 83857;Validado
RES-186;Katherine Benites Meza;33244151;978585497;katherinebenites25@outlook.com;Huaraz Laguna 69;16/07/2026;S/ 155.00;Transferencia;Luis Alvarado;Chat WhatsApp (Texto);NLP Sentimiento;Muy buena atención;Positivo (0.95)
RES-187;Roxana Paredes Aguilar;26357665;998665240;roxana.paredes@outlook.com;Iquitos Amazónico;31/08/2026;S/ 1,950.00;Yape;Jorge Benítez;Chat WhatsApp (Audio);NLP Sentimiento;Poca coordinación del grupo;Negativo (0.20)
RES-188;Diego Ramírez Delgado;88763056;933083301;dramirez@yahoo.com;Full Day Antioquía;05/06/2026;S/ 120.00;Yape;Jorge Benítez;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 120.00 | Op: 67734;Validado
RES-189;Fernando Aguilar Rojas;22007214;993802620;fernando_aguilar@hotmail.com;Huaraz Laguna 69;03/05/2026;S/ 260.00;Yape;Jorge Benítez;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 260.00 | Op: 54788;Validado
RES-190;Estefany Chávez Vela;72816684;943152742;echavez@outlook.com;Máncora Playas;12/08/2026;S/ 810.00;Transferencia;Jorge Benítez;Chat WhatsApp (Audio);NLP Sentimiento;Todo puntual;Positivo (0.95)
RES-191;Camila Chávez Cruz;53433080;930463745;camila.chavez@outlook.com;Paracas y Huacachina;16/05/2026;S/ 525.00;Transferencia;Ana Torres;Chat WhatsApp (Audio);NLP Sentimiento;Volveríamos sin dudarlo;Positivo (0.95)
RES-192;Gustavo Vargas Cabrera;49599276;959332727;gvargas@yahoo.com;Iquitos Amazónico;25/06/2026;S/ 2,110.00;Transferencia;Jorge Benítez;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 2110.00 | Op: 87851;Validado
RES-193;Marco Vargas Rojas;83504237;983982258;marco.vargas@hotmail.com;Iquitos Amazónico;08/09/2026;S/ 1,045.00;Plin;Carlos Mendoza;Chat WhatsApp (Texto);NLP Sentimiento;El paisaje fue espectacular;Positivo (0.95)
RES-194;Cynthia Bardales Rojas;85000490;974064039;cynthia.bardales@yahoo.com;Paracas y Huacachina;16/09/2026;S/ 530.00;Efectivo;Carlos Mendoza;Chat WhatsApp (Texto);NLP Sentimiento;El paisaje fue espectacular;Positivo (0.95)
RES-195;Camila Chávez Palomino;60259293;967661825;camilachavez16@yahoo.com;Tarapoto Selva;27/06/2026;S/ 1,835.00;Transferencia;Carlos Mendoza;Chat WhatsApp (Audio);NLP Sentimiento;El paisaje fue espectacular;Positivo (0.95)
RES-196;Víctor Benites Salazar;43220503;975243106;victor.benites@hotmail.com;Máncora Playas;30/09/2026;S/ 680.00;Yape;Jorge Benítez;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 680.00 | Op: 30673;Validado
RES-197;Víctor Reyes Rojas;28808678;984395995;vreyes@hotmail.com;Máncora Playas;10/07/2026;S/ 1,095.00;Yape;Jorge Benítez;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 1095.00 | Op: 68705;Validado
RES-198;Mariana Benites Pizarro;52779814;966246287;marianabenites31@outlook.com;Tarapoto Selva;15/05/2026;S/ 1,940.00;Plin;Ana Torres;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 1940.00 | Op: 63435;Validado
RES-199;Mariana Flores Guzmán;59805178;918304699;mariana.flores@hotmail.com;Máncora Playas;25/07/2026;S/ 1,175.00;Yape;Carlos Mendoza;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 1175.00 | Op: 31739;Validado
RES-200;Melissa Reyes Sánchez;42122457;985467854;mreyes@yahoo.com;Iquitos Amazónico;29/08/2026;S/ 1,060.00;Transferencia;María Castillo;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 1060.00 | Op: 55609;Validado
RES-201;Ricardo Gonzales Mamani;45000508;989964235;ricardo_gonzales@hotmail.com;Iquitos Amazónico;26/07/2026;S/ 1,780.00;Yape;Ana Torres;Chat WhatsApp (Texto);NLP Sentimiento;Muy buena atención;Positivo (0.95)
RES-202;Andrés Chávez Coronado;75540707;928080100;andreschavez53@hotmail.com;Full Day Antioquía;03/05/2026;S/ 125.00;Yape;Ana Torres;Chat WhatsApp (Audio);NLP Sentimiento;Recomendado al 100%;Positivo (0.95)
RES-203;Renzo Del Águila Mamani;10887495;988600848;renzo.del aguila@yahoo.com;Tarapoto Selva;25/05/2026;S/ 995.00;Plin;Luis Alvarado;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 995.00 | Op: 98454;Validado
RES-204;Yesenia Flores Rivera;64496076;979334101;yesenia_flores@yahoo.com;Iquitos Amazónico;03/05/2026;S/ 990.00;Transferencia;Carlos Mendoza;Chat WhatsApp (Texto);NLP Sentimiento;Normal, sin sorpresas;Neutro (0.50)
RES-205;Marco Ramírez Pizarro;15711200;933974014;marco.ramirez@hotmail.com;Paracas y Huacachina;23/06/2026;S/ 255.00;Plin;Ana Torres;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 255.00 | Op: 42939;Validado
RES-206;Roberto Coronado Cusi;61518966;921850163;rcoronado@yahoo.com;Paracas y Huacachina;09/07/2026;S/ 260.00;Transferencia;Ana Torres;Chat WhatsApp (Texto);NLP Sentimiento;El paisaje fue espectacular;Positivo (0.95)
RES-207;Pilar Alvarado Saavedra;98673882;961943114;pilar_alvarado@hotmail.com;Full Day Lunahuaná;28/05/2026;S/ 100.00;Yape;María Castillo;Chat WhatsApp (Texto);NLP Sentimiento;Volveríamos sin dudarlo;Positivo (0.95)
RES-208;Miguel Chávez Flores;35151299;967888610;mchavez@gmail.com;Paracas y Huacachina;04/05/2026;S/ 595.00;Yape;Ana Torres;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 595.00 | Op: 83982;Validado
RES-209;Ximena Benites Fernández;28634797;944472126;ximena_benites@outlook.com;Iquitos Amazónico;01/08/2026;S/ 2,150.00;Yape;Luis Alvarado;Chat WhatsApp (Texto);NLP Sentimiento;Superó mis expectativas;Positivo (0.95)
